CIUDAD;D_NS
ACHAO;3262
ALGARROBO;2058
ALTO DEL CARMEN;1439
ALTO HOSPICIO;299
ANCUD;3178
ANDACOLLO;1649
ANGOL;2626
ANTOFAGASTA;709
ANTUCO;2596
ARAUCO;2627
ARICA;0
BAQUEDANO;640
BUIN;2092
BULNES;2483
CABILDO;1935
CABRERO;2521
CALAMA;590
CALBUCO;3136
CALDERA;1189
CALERA DE TANGO;2083
CALLE LARGA;2020
CAMERON;5085
CAMINA;254
CANELA BAJA;1798
CANETE;2691
CARAHUE;2790
CARTAGENA;2072
CASABLANCA;2030
CASTRO;3255
CATEMU;1980
CAUQUENES;2409
CERRO CASTILLO;5057
CERRO SOMBRERO;4969
CHAITEN;3718
CHANCO;2453
CHANARAL;1091
CHEPICA;2233
CHIGUAYANTE;2567
CHILE CHICO;4072
CHILLAN;2460
CHILLAN VIEJO;2463
CHIMBARONGO;2210
CHOLCHOL;2748
CHONCHI;3277
COBQUECURA;2490
COCHRANE;4253
CODEGUA;2128
COELEMU;2489
COIHUECO;2489
COINCO;2168
COLBUN;2364
COLCHANE;392
COLINA;2048
COLLIPULLI;2636
COLTAUCO;2177
COMBARBALA;1768
CONCEPCION;2556
CON-CON;1996
CONSTITUCION;2416
CONTULMO;2693
COPIAPO;1265
COQUIMBO;1601
CORONEL;2585
CORRAL;2924
COYHAIQUE;3945
CUMPEO;2292
CUNCO;2794
CURACAUTIN;2729
CURACAVI;2061
CURACO DE VELEZ;3252
CURANILAHUE;2650
CURANIPE;2456
CURARREHUE;2878
CUREPTO;2354
CURICO;2249
CUYA;93
DALCAHUE;3242
DIEGO DE ALMAGRO;1138
DONIHUE;2164
EL CARMEN;2501
EL MONTE;2106
EL QUISCO;2061
EL TABO;2069
EMPEDRADO;2412
ENTRE LAGOS;3030
ERCILLA;2650
FLORIDA;2525
FREIRE;2762
FREIRINA;1425
FRESIA;3076
FRUTILLAR;3046
FUTALEUFU;3567
FUTRONO;2955
GALVARINO;2723
GORBEA;2780
GRANEROS;2131
HIJUELAS;1954
HUALANE;2314
HUALPEN;2571
HUALQUI;2581
HUARA;231
HUASCO;1445
HUEPIL;2543
ILLAPEL;1865
IQUIQUE;302
ISLA DE MAIPO;2102
LA CALERA;1949
LA CRUZ;1956
LA ESTRELLA;2169
LA HIGUERA;1535
LA LAJA;2568
LA LIGUA;1915
LA SERENA;1591
LA UNION;2958
LAGO RANCO;3001
LAGO VERDE;3752
LAMPA;2046
LANCO;2841
LAS CABRAS;2170
LAUTARO;2708
LEBU;2698
LICANTEN;2333
LIMACHE;1983
LINARES;2363
LITUECHE;2151
LLAILLAY;1973
LLANQUIHUE;3063
LOLOL;2246
LONCOCHE;2815
LONGAVI;2374
LONQUIMAY;2794
LOS ALAMOS;2672
LOS ANDES;2017
LOS ANGELES;2569
LOS LAGOS;2896
LOS MUERMOS;3121
LOS SAUCES;2651
LOS VILOS;1839
LOTA;2593
LUMACO;2674
MACHALI;2147
MAFIL;2867
MALLOA;2181
MARCHIGÜE;2198
MARIA ELENA;530
MARIA PINTO;2084
MAULE;2327
MAULLIN;3155
MEJILLONES;663
MELINKA;3428
MELIPILLA;2088
MELLIPEUCO;2826
MOLINA;2267
MONTE PATRIA;1712
MULCHEN;2603
NACIMIENTO;2600
NANCAGUA;2220
NAVIDAD;2141
NEGRETE;2597
NINHUE;2485
NOGALES;1944
NUEVA IMPERIAL;2768
NUEVA TOLTEN;2832
NIPAS;2507
OLIVAR ALTO;2151
OLLAGUE;506
OLMUE;1990
OSORNO;2988
OVALLE;1679
PADRE HURTADO;2080
PADRE LAS CASAS;2741
PAIHUANO;1677
PAILLACO;2925
PAINE;2100
PALENA;3613
PALMILLA;2209
PANGUIPULLI;2887
PANQUEHUE;1989
PAPUDO;1922
PAREDONES;2265
PARRAL;2400
PELARCO;2319
PEMUCO;2505
PENCAHUE;2327
PENCO;2549
PENAFLOR;2091
PERALILLO;2213
PERQUENCO;2694
PETORCA;1967
PEUMO;2207
PICA;325
