ORDEN;Horas;Importe
OS-1;0.01;100312
OS-2;0.02;432392
OS-3;0.03;45096
OS-4;0.04;4130924
OS-5;0.05;16841
OS-6;0.06;475925
OS-7;0.06;59990
OS-8;0.07;159990
OS-9;0.08;2644470
OS-10;0.09;78000
OS-11;0.09;75793
OS-12;0.1;120000
OS-13;0.1;11980
OS-14;0.1;106584
OS-15;0.1;6545
OS-16;0.1;99458
OS-17;0.1;182864
OS-18;0.1;208797
OS-19;0.1;426201
OS-20;0.1;68989
OS-21;0.1;150272
OS-22;0.1;68099
OS-23;0.1;182864
OS-24;0.1;100396
OS-25;0.1;28496
OS-26;0.1;116884
OS-27;0.1;108916
OS-28;0.1;22111
OS-29;0.1;9470
OS-30;0.1;59990
OS-31;0.1;137744
OS-32;0.1;68099
OS-33;0.1;105779
OS-34;0.1;15728
OS-35;0.1;59990
OS-36;0.1;17380
OS-37;0.11;79989
OS-38;0.13;553683
OS-39;0.13;81989
OS-40;0.13;199000
OS-41;0.14;69990
OS-42;0.14;59990
OS-43;0.15;74435
OS-44;0.15;74436
OS-45;0.15;163836
OS-46;0.15;71989
OS-47;0.15;9639
OS-48;0.15;128226
OS-49;0.15;177142
OS-50;0.15;14604
OS-51;0.16;59749
OS-52;0.17;86418
OS-53;0.17;74437
OS-54;0.17;125505
OS-55;0.17;59990
OS-56;0.17;73989
OS-57;0.17;59990
OS-58;0.18;401938
OS-59;0.18;126147
OS-60;0.18;74490
OS-61;0.18;74490
OS-62;0.18;67041
OS-63;0.18;74490
OS-64;0.18;74490
OS-65;0.18;74490
OS-66;0.18;74436
OS-67;0.19;99808
OS-68;0.2;157832
OS-69;0.2;189690
OS-70;0.2;87003
OS-71;0.2;200119
OS-72;0.2;81258
OS-73;0.2;463297
OS-74;0.2;93058
OS-75;0.2;105659
OS-76;0.2;158866
OS-77;0.2;159750
OS-78;0.2;84126
OS-79;0.2;74436
OS-80;0.2;102480
OS-81;0.2;69253
OS-82;0.2;139593
OS-83;0.2;14061
OS-84;0.2;49991
OS-85;0.2;88001
OS-86;0.2;45024
OS-87;0.2;148307
OS-88;0.2;206000
OS-89;0.22;69990
OS-90;0.22;69990
OS-91;0.23;27100
OS-92;0.23;15000
OS-93;0.23;78619
OS-94;0.24;469999
OS-95;0.25;2334734
OS-96;0.25;164116
OS-97;0.25;65082
OS-98;0.25;69990
OS-99;0.25;96278
OS-100;0.25;802735
OS-101;0.25;69990
OS-102;0.25;68901
OS-103;0.25;14816
OS-104;0.26;184989
OS-105;0.27;272861
OS-106;0.27;93307
OS-107;0.28;109991
OS-108;0.29;114013
OS-109;0.3;68742
OS-110;0.3;206000
OS-111;0.3;80138
OS-112;0.3;99990
OS-113;0.3;99822
OS-114;0.3;99782
OS-115;0.3;196235
OS-116;0.3;19635
OS-117;0.3;96999
OS-118;0.3;86999
OS-119;0.3;74436
OS-120;0.3;77791
OS-121;0.3;86550
OS-122;0.3;80484
OS-123;0.3;75440
OS-124;0.3;74436
OS-125;0.3;74436
OS-126;0.3;94306
OS-127;0.3;74436
OS-128;0.3;84000
OS-129;0.3;84000
OS-130;0.3;86001
OS-131;0.3;94993
OS-132;0.3;59990
OS-133;0.3;88753
OS-134;0.3;111842
OS-135;0.3;191639
OS-136;0.3;75001
OS-137;0.3;125000
OS-138;0.3;87170
OS-139;0.3;109086
OS-140;0.3;96999
OS-141;0.3;96991
OS-142;0.3;135703
OS-143;0.3;147669
OS-144;0.3;92000
OS-145;0.3;78306
OS-146;0.3;101149
OS-147;0.3;90772
OS-148;0.3;60001
OS-149;0.3;143728
OS-150;0.3;49199
OS-151;0.3;100857
OS-152;0.3;97663
OS-153;0.3;69990
OS-154;0.3;94772
OS-155;0.3;82202
OS-156;0.3;94306
OS-157;0.3;82202
OS-158;0.3;195355
OS-159;0.3;88753
OS-160;0.3;59990
OS-161;0.3;73989
OS-162;0.3;73991
OS-163;0.3;86091
OS-164;0.3;92091
OS-165;0.3;69991
OS-166;0.3;17779
OS-167;0.3;69990
