Orden;Horas;Importe
OS-1;11;4730676
OS-2;9;6021123
OS-3;3.75;7851734
OS-4;1.5;1636972
OS-5;2;1836125
OS-6;2;730280
OS-7;0.55;5214822
OS-8;6.7;5334901
OS-9;1;752899
OS-10;5.8;5231100
OS-11;3;6319851
OS-12;10.7;6702344
OS-13;3.42;1905091
OS-14;5;950000
OS-15;7;4146371
OS-16;4;6780631
OS-17;12;357000
OS-18;2;4637610
OS-19;1;711606
OS-20;2;2918906
OS-21;0.18;401938
OS-22;2;1538721
OS-23;6;4049190
OS-24;3;3579629
OS-25;2.3;6780869
OS-26;6.5;11534604
OS-27;1;2073001
OS-28;1.16;380649
OS-29;4;1210898
OS-30;24;3105984
OS-31;1;1994758
OS-32;7.81;1800354
OS-33;2;4372221
OS-34;20;3505927
OS-35;4;4654426
OS-36;2;119000
OS-37;2.8;4939576
OS-38;2.9;455550
OS-39;1;5732745
OS-40;3.6;298049
OS-41;2.14;189989
OS-42;3.77;1584262
OS-43;2;1842509
OS-44;0.51;383637
OS-45;0.43;119927
OS-46;2.02;1038768
OS-47;4;6155302
OS-48;2;414422
OS-49;6;236466
OS-50;6.9;1596173
OS-51;1;1436912
OS-52;1;1921826
OS-53;2.31;4050
OS-54;1;656394
OS-55;1.08;1430624
OS-56;1;1612014
OS-57;1.8;2359891
OS-58;1;609134
OS-59;1.4;845227
OS-60;3;1702976
OS-61;1;59262
OS-62;0.5;69807
OS-63;1.17;2858321
OS-64;0.82;1594684
OS-65;4.8;4471643
OS-66;1;877714
OS-67;4.8;945768
OS-68;1;904747
OS-69;1.83;751409
OS-70;4;6787060
OS-71;3;674843
OS-72;3;9756762
OS-73;6;1841718
OS-74;0.8;436164
OS-75;1;1340741
OS-76;1.38;157990
OS-77;2.24;1880946
OS-78;4;3314983
OS-79;3;942674
OS-80;2;3787355
OS-81;0.5;118050
OS-82;3.2;8494733
OS-83;1;59262
OS-84;0.5;63779
OS-85;1.2;1639251
OS-86;3;1737747
OS-87;1;210261
OS-88;0.25;96278
OS-89;1;7521475
OS-90;1;133334
OS-91;2;2150121
OS-92;0.5;915064
OS-93;2.2;6346827
OS-94;9.1;4203451
OS-95;0.4;288881
OS-96;0.5;165925
OS-97;0.61;277934
OS-98;1.5;5455673
OS-99;1.5;961071
OS-100;0.5;156195
OS-101;0.77;2673726
OS-102;2;545183
OS-103;2;798153
OS-104;0.25;802735
OS-105;1;5444370
OS-106;2.6;761467
OS-107;1;59262
OS-108;1;59262
OS-109;0.5;2021305
OS-110;1;67415
OS-111;1;47168
OS-112;1;59262
