IDENCR;Trato - FECHA DE LA RECETA;Trato - ABONO;Trato - Cantidad de producto;Trato - Cantidad de producto;Trato - CUOTAS;Trato - MEDIO DE PAGO;Trato - Fecha de ganado;Trato - NUMERO DE BOLETA;Trato - Moneda;Trato - Trato creado;Trato - Trato cerrado el;Trato - Fecha de perdido;Persona - Persona creada;Trato - Valor;Trato - TIPO DE LENTE;Nacimiento;Domicilio;Edad
A100265177;;266000;9;469500;3;DESCUENTO POR PLANILLA FENATS;2022-08-29 08:55:04;;CLP;2022-08-02 10:32:10;2022-08-29 08:55:04;;2022-07-07 14:05:35;469.500,00 CLP;;25-04-1979;Cerrillos;43
A100773512;2022-10-12;446000;8;446000;;DEBITO/CREDITO;2022-10-26 12:58:28;555;CLP;2022-10-12 15:58:10;2022-10-26 12:58:28;;2022-10-12 15:58:10;446.000,00 CLP;LEJOS Y CERCA;13-05-1982;Maipu;40
A99936876;2022-08-29;;2;387000;6;DESCUENTO POR PLANILLA FENATS;;;CLP;2022-08-29 13:16:00;;;2021-12-07 12:15:18;387.000,00 CLP;;22-02-1974;Pedro Aguirre Cerda;48
A99572448;2022-08-04;;2;333000;6;DESCUENTO POR PLANILLA FENATS;2022-08-29 08:56:28;481;CLP;2022-08-04 09:41:39;2022-08-29 08:56:28;;2022-08-04 09:41:39;333.000,00 CLP;;10-02-1970;El Bosque;52
A98665118;2022-09-10;;2;330000;;;;;CLP;2022-09-10 16:44:58;2022-11-26 11:25:31;2022-11-26 11:25:31;2022-09-10 16:44:58;330.000,00 CLP;;25-01-1962;Concepción;60
#VALUE!;2022-08-29;;4;279000;6;DESCUENTO POR PLANILLA FENATS;2022-10-08 11:58:24;539;CLP;2022-08-29 12:58:26;2022-10-08 11:58:24;;;279.000,00 CLP;;;;
A101349962;2022-11-05;270000;2;270000;;DEBITO/CREDITO;2022-11-26 11:13:27;585;CLP;2022-11-05 16:49:05;2022-11-26 11:13:27;;2022-11-05 16:49:04;270.000,00 CLP;PROGRESIVO;10-06-1974;Santiago;48
A101961971;;;3;260000;;;2022-01-03 13:15:54;;CLP;2021-12-22 11:05:19;2022-01-03 13:15:54;;2021-12-22 11:05:18;260.000,00 CLP;;25-05-1999;Maipu;23
A98893305;;123300;6;246600;4;DESCUENTO POR PLANILLA FENATS;2022-07-14 13:37:54;410;CLP;2022-07-04 12:52:20;2022-07-14 13:37:54;;2022-07-04 12:52:19;246.600,00 CLP;;29-01-1964;La Florida;58
A99041279;2022-11-05;120000;4;245000;;DEBITO/CREDITO;2022-11-26 11:12:16;582;CLP;2022-11-05 16:04:08;2022-11-26 11:12:16;;2022-11-05 16:04:08;245.000,00 CLP;PROGRESIVO;13-09-1965;El Bosque;57
A99305945;2022-10-12;117000;2;234000;;DEBITO/CREDITO;2022-10-26 12:58:38;;CLP;2022-10-12 13:24:22;2022-10-26 12:58:38;;2022-10-12 13:24:22;234.000,00 CLP;PROGRESIVO;27-12-1972;San Miguel;50
A99785873;;;2;229000;6;DESCUENTO POR PLANILLA FENATS;2022-07-21 11:38:45;435;CLP;2022-07-08 10:54:52;2022-07-21 11:38:45;;2022-07-08 10:54:51;229.000,00 CLP;;06-08-1972;Estacion Central;50
A97811216;2022-07-05;112500;2;225000;;;2022-08-08 17:58:32;440;CLP;2022-07-05 11:30:25;2022-08-08 17:58:32;;2022-07-04 00:19:07;225.000,00 CLP;;01-02-1959;Peñaflor;63
A98890602;;;2;225000;6;DESCUENTO POR PLANILLA FENATS;2022-08-29 08:56:07;483;CLP;2022-08-03 10:34:28;2022-08-29 08:56:07;;2022-08-03 10:34:28;225.000,00 CLP;;25-05-1963;Pudahuel;59
A99149752;2022-08-12;;2;221000;6;DESCUENTO POR PLANILLA FENATS;2022-10-08 11:58:46;536;CLP;2022-08-30 13:00:05;2022-10-08 11:58:46;;2021-08-03 21:33:54;221.000,00 CLP;;23-12-1964;La Granja;58
A99627940;;;2;220000;;;2021-12-22 12:29:00;;CLP;2021-12-22 10:02:49;2021-12-22 12:29:00;;2021-12-22 10:02:48;220.000,00 CLP;;23-02-1971;La Florida;51
A98186485;2022-10-08;219000;2;219000;;DEBITO/CREDITO;2022-10-29 14:43:02;559;CLP;2022-10-08 14:01:15;2022-10-29 14:43:02;;2022-10-08 14:01:14;219.000,00 CLP;PROGRESIVO;28-06-1965;Quinta Normal;57
A99786817;2022-07-26;;2;216000;6;DESCUENTO POR PLANILLA FENATS;2022-08-29 08:55:41;480;CLP;2022-08-03 10:17:32;2022-08-29 08:55:41;;2022-08-03 10:17:32;216.000,00 CLP;;24-05-1972;Lo Prado;50
A99197334;2022-07-05;;2;210000;6;DESCUENTO POR PLANILLA FENATS;2022-12-12 14:13:22;438;CLP;2022-07-06 11:27:00;2022-12-12 14:13:22;;2022-07-06 11:26:59;210.000,00 CLP;;17-07-1966;Pudahuel;56
A99756655;2022-07-05;;4;209500;6;DESCUENTO POR PLANILLA FENATS;2022-07-14 13:21:14;415;CLP;2022-07-06 11:57:39;2022-07-14 13:21:14;;2022-07-06 11:57:10;209.500,00 CLP;;08-11-1972;La Florida;50
A98829607;2022-10-26;50000;2;202500;;DEBITO/CREDITO;2022-11-26 11:13:19;584;CLP;2022-10-26 13:40:44;2022-11-26 11:13:19;;2022-10-26 13:40:43;202.500,00 CLP;PROGRESIVO;12-10-1964;El Bosque;58
A98871002;2022-08-01;;2;199000;6;DESCUENTO POR PLANILLA FENATS;2022-08-19 13:38:39;484;CLP;2022-08-01 12:31:43;2022-08-19 13:38:39;;2022-08-01 12:31:42;199.000,00 CLP;;02-03-1963;Puente Alto;59
A99236239;2022-07-04;95625;6;191250;3;DESCUENTO POR PLANILLA FENATS;2022-07-14 12:09:17;426;CLP;2022-07-04 16:49:34;2022-07-14 12:09:17;;2022-07-04 09:38:15;191.250,00 CLP;;27-09-1966;Recoleta;56
A99786196;2022-07-06;;2;180000;6;DESCUENTO POR PLANILLA FENATS;2022-08-02 13:21:11;436;CLP;2022-07-06 16:52:53;2022-08-02 13:21:11;;2022-07-06 16:52:53;180.000,00 CLP;;19-10-1972;El Bosque;50
#VALUE!;;176000;4;176000;;;;;CLP;2023-02-02 13:08:33;;;2023-02-02 13:08:33;176.000,00 CLP;LEJOS;;;
A101586793;;;6;171000;6;DESCUENTO POR PLANILLA FENATS;2022-07-14 12:49:18;430;CLP;2022-07-08 09:42:03;2022-07-14 12:49:18;;2022-07-06 08:55:39;171.000,00 CLP;;15-07-1993;La Pintana;29
A100153926;2022-08-04;;2;171000;6;DESCUENTO POR PLANILLA FENATS;2022-08-29 08:57:27;482;CLP;2022-08-04 16:12:27;2022-08-29 08:57:27;;2022-08-04 16:12:26;171.000,00 CLP;;01-01-1976;Puente Alto;46
A99999972;;;4;170000;5;DESCUENTO POR PLANILLA FENATS;2022-07-21 13:40:31;437;CLP;2022-07-04 13:40:28;2022-07-21 13:40:31;;2021-08-31 09:52:18;170.000,00 CLP;;17-04-1975;Renca;47
A97795223;2022-11-05;170000;4;170000;;DEBITO/CREDITO;2022-11-26 11:25:52;581;CLP;2022-11-05 18:54:30;2022-11-26 11:25:52;;2022-11-05 18:54:30;170.000,00 CLP;LEJOS Y CERCA;24-08-1955;La Cisterna;67
