ingresos;costos_fijos;costos_variables;resultado
1385204;171658;124985;1088561
1041581;205008;159303;677270
1682734;88626;34528;1559580
1016307;173254;122229;720824
774911;8600;198472;567839
1563280;107640;88662;1366978
1247055;17410;218067;1011578
777126;247427;41512;488187
1689496;249939;187942;1251615
1681848;178504;2056;1501288
1998226;210610;190862;1596754
1734830;210902;142480;1381448
1073477;114293;167994;791190
846179;42249;130179;673751
1787176;99265;178635;1509276
983803;203842;52192;727769
1664535;144367;38255;1481913
1307314;234457;75356;997501
682924;109116;191677;382131
1248498;143417;180718;924363
1442990;140230;52071;1250689
1588078;177630;80275;1330173
1062059;74535;28339;959185
1767889;219689;114402;1433798
847166;84718;121701;640747
1088709;35795;130213;922701
663819;208112;18463;437244
1283674;131523;157920;994231
1617386;54478;13885;1549023
1168284;37887;19714;1110683
717691;194212;520;522959
1974260;203335;124865;1646060
1927765;24883;3576;1899306
688217;38361;90704;559152
770630;173172;214357;383101
643432;214249;204143;225040
871008;26644;116649;727715
1768716;194111;195952;1378653
1094106;71666;123507;898933
841984;195439;210241;436304
1863674;246921;142948;1473805
1844311;28573;203915;1611823
1738420;229001;8215;1501204
1214587;122475;170090;922022
1177766;244321;58255;875190
997198;1591;173845;821762
559926;113064;24910;421952
998973;13109;213835;772029
680300;71568;141438;467294
1834873;201663;88545;1544665
1412459;66355;25481;1320623
1000190;158307;106553;735330
1603491;19489;92930;1491072
1754245;151899;160062;1442284
899690;230714;60324;608652
1741765;180500;41903;1519362
1684504;105456;42321;1536727
1336688;76223;5349;1255116
639446;214354;74741;350351
1319715;200870;105772;1013073
737158;18135;152622;566401
788274;152449;164844;470981
658300;5775;91283;561242
1530638;171342;152726;1206570
754278;25804;62412;666062
1260987;71322;143885;1045780
975534;195349;70192;709993
870226;192198;60394;617634
1496433;82352;118224;1295857
1996341;71204;83093;1842044
629924;102553;68353;459018
1087971;118505;47112;922354
1972290;225875;28414;1718001
846653;241597;51497;553559
1848321;66018;71130;1711173
1226131;45690;121101;1059340
1571025;209086;10707;1351232
1559834;244406;183692;1131736
1120769;33152;32522;1055095
703001;10969;205253;486779
1348337;237676;173002;937659
1245038;4447;117202;1123389
894383;193391;249285;451707
1755193;201617;57523;1496053
1529461;179238;4098;1346125
1420383;249817;242789;927777
1246670;1824;232134;1012712
1794773;247762;202861;1344150
993493;165134;200618;627741
1154703;53018;68517;1033168
1757421;171916;16768;1568737
1504427;106168;246721;1151538
1873858;159857;19230;1694771
1652564;155127;89162;1408275
874885;12648;221107;641130
1338943;220465;215759;902719
547727;59685;15881;472161
1469494;143935;24240;1301319
584679;192356;84547;307776
1112145;81814;204432;825899
710646;78400;198876;433370
1154531;27976;11653;1114902
1017110;150283;222535;644292
1663771;181313;108921;1373537
752432;172583;205745;374104
