,codigo,longitud,latitud,comuna,direccion,m21,m22,bathroom,dormitorios,precio11,precio12,precio21,precio22,uf,fecha_publicacion,url,url_img,operacion
0,1778539,-70.69153332,-33.45447499,Estación Central,"Av. Bernardo O´Higgins  4050, Estación Central",0.0,0.0,1,1,42000000.0,42000000.0,1392.07,1392.07,1392.07,18-07-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/estacion-central/av-bernardo-o-higgins-4050-estacion-central/1778539,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210718/1778539/s_wm_2021080221107548331.jpeg,venta
0,1700221,-70.6917164,-33.454416,Estación Central,"Alameda 4050, Estación Central",0.0,0.0,1,1,1500.0,1500.0,45256245.0,0.0,1500.0,23-03-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/estacion-central/alameda-4050-estacion-central/1700221,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210323/1700221/s_wm_2021032359517859342.jpg,venta
0,1770157,-70.60163565,-33.42077778,Providencia,"THAYER OJEDA 260   OF 3, Providencia",0.0,0.0,2,2,5200.0,5200.0,156888316.0,0.0,5200.0,05-07-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/providencia/thayer-ojeda-260-of-3-providencia/1770157,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210705/1770157/s_wm_2021070521566322074.jpg,venta
0,1750370,-70.64749353,-33.4427556,Santiago,"OFICINA San Antonio 19, Santiago",0.0,0.0,2,2,3950.0,3950.0,119174778.5,0.0,3950.0,03-06-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/oficina-san-antonio-19-santiago/1750370,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210603/1750370/s_wm_2021060348476528549.jpg,venta
0,1814141,-70.65157857,-33.43969942,Santiago,"Huerfanos 1044, Santiago",0.0,0.0,1,1,85000000.0,85000000.0,2817.29,2817.29,2817.29,01-09-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/huerfanos-1044-santiago/1814141,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210901/1814141/s_wm_2021090135306396395.jpg,venta
0,1775199,-70.65443843,-33.43984716,Santiago,"Dr Sotero del Rio 326, Santiago",0.0,0.0,1,1,3000.0,3000.0,90512490.0,0.0,3000.0,12-07-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/dr-sotero-del-rio-326-santiago/1775199,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210712/1775199/s_wm_2021071206134648985.jpg,venta
0,1790632,-70.65392134,-33.4396254,Santiago,"MORANDE 322   OF 702, Santiago",0.0,0.0,3,3,19000.0,19000.0,573245770.0,0.0,19000.0,03-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/morande-322-of-702-santiago/1790632,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210803/1790632/s_wm_2021080311459044713.jpg,venta
0,1807677,-70.6595523,-33.44312646,Santiago,"Oficinas 1/2 planta - FANOR VELASCO 85, Santiago",0.0,0.0,6,6,18000.0,18000.0,543074940.0,0.0,18000.0,26-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/oficinas-1-2-planta-fanor-velasco-85-santiago/1807677,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210826/1807677/s_wm_2021082618391669269.jpg,venta
0,1830294,-70.65520236,-33.4438477,Santiago,"VALENTIN LETELIER 20 DP 303, Santiago",0.0,0.0,2,2,5400.0,5400.0,162922482.0,0.0,5400.0,22-09-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/santiago/valentin-letelier-20-dp-303-santiago/1830294,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210922/1830294/s_wm_2021092225224019769.jpg,venta
0,1644483,-70.586796,-33.415809,Las Condes,"MÁLAGA 85, Las Condes",0.0,0.0,1,1,3990.0,3990.0,120381611.7,0.0,3990.0,24-06-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/las-condes/malaga-85-las-condes/1644483,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210106/1644483/s_wm_2021010549060056307.jpg,venta
0,1804758,-70.616998,-33.430656,Providencia,"ANTONIO VARAS 303 OF 1109, Providencia",0.0,0.0,1,1,3100.0,3100.0,93529573.0,0.0,3100.0,23-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/providencia/antonio-varas-303-of-1109-providencia/1804758,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210823/1804758/s_wm_2021082313073892978.jpg,venta
0,1562915,-70.61595497,-33.42401332,Providencia,"LA CONCEPCION 165   OF 302, Providencia",0.0,0.0,1,1,2600.0,2600.0,78444158.0,0.0,2600.0,02-06-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/providencia/la-concepcion-165-of-302-providencia/1562915,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20200920/1562915/s_wm_2020092056053416962.jpg,venta
0,1791837,-70.6160546,-33.4240785,Providencia,Excelente oficina en Providencia,42.0,42.0,1,1,2600.0,2600.0,78444158.0,0.0,2600.0,04-08-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/providencia/excelente-oficina-en-providencia/1791837,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210804/1791837/s_wm_e548fad4-559f-4aa6-931e-9876a21bd99c_20210804_214919.jpg,venta
0,1838473,-70.69150254,-33.53494033,Lo Espejo,Construcción desarmable incluye galpón y oficinas ( SIN TERRENO),0.0,0.0,4,4,115000000.0,115000000.0,3811.63,3811.63,3811.63,02-10-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/lo-espejo/construccion-desarmable-incluye-galpon-y-oficinas-sin-terreno/1838473,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20211002/1838473/s_wm_2021100229085870172.jpg,venta
0,1810806,-70.57161388,-33.41005001,Las Condes,"Apoquindo 5555 1211, Las Condes",0.0,0.0,1,1,3319.0,3319.0,100136984.77,0.0,3319.0,30-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/las-condes/apoquindo-5555-1211-las-condes/1810806,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210830/1810806/s_wm_2021083029446213156.jpeg,venta
0,1775983,-70.59234731,-33.41713739,Las Condes,"NAPOLEON 3565   OF 412, Las Condes",0.0,0.0,2,2,5400.0,5400.0,162922482.0,0.0,5400.0,13-07-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/las-condes/napoleon-3565-of-412-las-condes/1775983,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210713/1775983/s_wm_2021071317198356517.jpg,venta
0,1798230,-70.60033462,-33.41979039,Providencia,"JOSE A SOFFIA 2747   OF 601, Providencia",0.0,0.0,2,2,8615.0,8615.0,259921700.45,0.0,8615.0,14-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/providencia/jose-a-soffia-2747-of-601-providencia/1798230,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210814/1798230/s_wm_2021081407062870842.jpg,venta
0,1792419,-72.591224,-38.739964,Temuco,"PRAT ESQ VARAS OF  327, Temuco",0.0,0.0,2,2,2150.0,2150.0,64867284.5,0.0,2150.0,05-08-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/temuco/prat-esq-varas-of-327-temuco/1792419,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210805/1792419/s_wm_2021080529282115645.jpg,venta
0,1719689,-72.588507,-38.740535,Temuco,"ANTONIO VARAS 989 OF. 505, Temuco",0.0,0.0,1,1,2800.0,2800.0,84478324.0,0.0,2800.0,20-04-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/temuco/antonio-varas-989-of-505-temuco/1719689,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210420/1719689/s_wm_2021042020254097234.jpeg,venta
0,1825797,-70.909861,-53.15830691,Punta Arenas,"Avenida Colón 466, Punta Arenas",0.0,0.0,3,3,400000000.0,400000000.0,13257.84,13257.84,13257.84,14-09-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/punta-arenas/avenida-colon-466-punta-arenas/1825797,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210914/1825797/s_wm_2021091420014657325.jpg,venta
0,1829042,-70.63311471,-33.43487808,Providencia,Hermosa oficina/local comercial en Barrio Bellavista,0.0,0.0,4,4,14000.0,14000.0,422391620.0,0.0,14000.0,21-09-2021 0:00:00,https://www.toctoc.com/propiedades/compraparticularsr/oficina/providencia/hermosa-oficina-local-comercial-en-barrio-bellavista/1829042,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210921/1829042/s_wm_2021092143226091186.jpg,venta
0,1823191,-70.5072,-33.3624,Lo Barnechea,Av. Raúl Labbé,128.12,128.12,4,4,7990.0,7990.0,241064931.7,0.0,7990.0,10-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/lo-barnechea/av-raul-labbe/1823191,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210910/1823191/s_wm_century21gs_613771958fbd6.jpg,venta
0,1531634,-70.5175,-33.3578,Lo Barnechea,Mall Portal La Dehesa,36.72,36.72,1,1,3395.0,3395.0,102429967.85,0.0,3395.0,22-07-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/lo-barnechea/mall-portal-la-dehesa/1531634,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20200806/1531634/s_wm_vld_407881030407881895517_1.jpg,venta
0,1732746,-70.5186,-33.3553,Lo Barnechea,AV LA DEHESA-LOS CACTUS,125.06,125.06,3,3,13630.0,13630.0,411228412.9,0.0,13630.0,08-05-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/lo-barnechea/av-la-dehesa-los-cactus/1732746,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210508/1732746/s_wm_vld_78298-103078298-2296292_1.jpg,venta
0,1235432,-70.5152,-33.3524,Lo Barnechea,"Rodeo, La Dehesa",924.0,924.0,4,4,40000.0,40000.0,1206833200.0,0.0,40000.0,06-05-2020 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/lo-barnechea/rodeo-la-dehesa/1235432,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20190517/1235432/s_wm_vld_47316-103047316-1953336_1.jpg,venta
0,1700494,-70.6492,-33.4442,Santiago,ESTACION UNIVERSIDAD DE CHILE/SERRANO,0.0,0.0,0,0,11200.0,11200.0,337913296.0,0.0,11200.0,24-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/estacion-universidad-de-chile-serrano/1700494,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210324/1700494/s_wm_procasa_propiedades_88600900_1.jpg,venta
0,1700496,-70.6492,-33.4442,Santiago,ESTACION UNIVERSIDAD DE CHILE/SERRANO,0.0,0.0,6,6,19500.0,19500.0,588331185.0,0.0,19500.0,24-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/estacion-universidad-de-chile-serrano/1700496,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210324/1700496/s_wm_procasa_propiedades_88600900_1.jpg,venta
0,1821701,-70.6489,-33.4425,Santiago,Estado,222.0,222.0,3,3,9520.0,9520.0,287226301.6,0.0,9520.0,08-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/estado/1821701,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210908/1821701/s_wm_century21rd_611fd648e48ab.jpg,venta
0,1098515,-70.649,-33.4424,Santiago,Estado/Moneda,0.0,0.0,0,0,3250.0,3250.0,98055197.5,0.0,3250.0,18-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/estado-moneda/1098515,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20181012/1098515/s_wm_procasa_propiedades_76538826_1.jpg,venta
0,1728150,-70.641,-33.4401,Santiago,José Victorino Lastarria,221.0,221.0,0,0,14000.0,14000.0,422391620.0,0.0,14000.0,06-10-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/jose-victorino-lastarria/1728150,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210501/1728150/s_wm_remax1028057_l_99d18bb3-c4a4-4df2-913f-f66400ff2c6d_ilist.jpg,venta
0,1794306,-70.6494,-33.444,Santiago,Serrano,444.0,444.0,7,7,21600.0,21600.0,651689928.0,0.0,21600.0,09-08-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/santiago/serrano/1794306,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210809/1794306/s_wm_century21pro_610fe2a2a85ef.jpg,venta
0,1432094,-70.5972,-33.4147,Las Condes,Isidora Goyenechea / Don Carlos / Metro Estacion El Golf,184.0,184.0,3,3,20500.0,20500.0,618502015.0,0.0,20500.0,06-05-2020 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/isidora-goyenechea-don-carlos-metro-estacion-el-golf/1432094,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20200228/1432094/s_wm_cys_73721-103073721-2202693_1.jpg,venta
0,1720193,-70.5942,-33.4166,Las Condes,Enrique Foster Sur / Apoquindo / El Golf,115.0,115.0,3,3,13500.0,13500.0,407306205.0,0.0,13500.0,21-04-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/enrique-foster-sur-apoquindo-el-golf/1720193,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210421/1720193/s_wm_amp_78185-103078185-2292674_1.jpg,venta
0,1836403,-70.5984,-33.4166,Las Condes,Carmencita,329.0,329.0,3,3,26320.0,26320.0,794096245.6,0.0,26320.0,30-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/carmencita/1836403,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210930/1836403/s_wm_century21invernor_615471f020dd6.jpg,venta
0,1838441,-70.5935,-33.4159,Las Condes,Magdalena,220.0,220.0,3,3,21000.0,21000.0,633587430.0,0.0,21000.0,02-10-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/magdalena/1838441,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20211002/1838441/s_wm_fpv_378248103378248912249_1.jpg,venta
0,1805472,-70.5943,-33.4158,Las Condes,Enrique Foster Norte,452.0,452.0,6,6,38000.0,38000.0,1146491540.0,0.0,38000.0,24-08-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/enrique-foster-norte/1805472,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210824/1805472/s_wm_century21andes_5ee20900c77ef.jpg,venta
0,1645283,-70.5915,-33.4139,Las Condes,Isidora Goyenechea,134.0,134.0,4,4,13500.0,13500.0,407306205.0,0.0,13500.0,07-01-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/isidora-goyenechea/1645283,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210107/1645283/s_wm_golden_propiedades_11501-103011501-222005_1.jpg,venta
0,1806146,-70.899,-33.6111,Peñaflor,Plaza Peñaflor,782.0,782.0,4,4,10570.0,10570.0,318905673.1,0.0,10570.0,24-08-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/penaflor/plaza-penaflor/1806146,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210824/1806146/s_wm_fpt_377515103377515896687_1.jpg,venta
0,1093316,-70.6537,-33.4996,San Miguel,Metro lo Vial,880.0,880.0,7,7,39000.0,39000.0,1176662370.0,0.0,39000.0,30-01-2019 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/san-miguel/metro-lo-vial/1093316,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20181004/1093316/s_wm_realtycorp_38177-103038177-266760_1.jpg,venta
0,1635588,-70.5671,-33.4088,Las Condes,Encomenderos,408.97,408.97,6,6,45000.0,45000.0,1357687350.0,0.0,45000.0,18-12-2020 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/encomenderos/1635588,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20201218/1635588/s_wm_century21invernor_5f89db6f6b132.jpg,venta
0,1736284,-70.5644,-33.4074,Las Condes,Apoquindo/Noruega,0.0,0.0,2,2,10200.0,10200.0,307742466.0,0.0,10200.0,18-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/las-condes/apoquindo-noruega/1736284,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210514/1736284/s_wm_procasa_propiedades_76538826_1.jpg,venta
0,1835536,-70.6099,-33.4243,Providencia,Providencia // Guardia Vieja (1051),0.0,0.0,1,1,12900.0,12900.0,389203707.0,0.0,12900.0,29-09-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/providencia/providencia-guardia-vieja-1051/1835536,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210929/1835536/s_wm_makler_whatsapp_image_20210928_at_10.40.21_1_20210928233329.jpeg,venta
0,1841313,-70.6045,-33.4209,Providencia,San Pio X,90.0,90.0,2,2,8900.0,8900.0,268520387.0,0.0,8900.0,07-10-2021 0:00:00,https://www.toctoc.com/propiedades/compracorredorasr/oficina/providencia/san-pio-x/1841313,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20211007/1841313/s_wm_century21hr_615e1302a3286.jpg,venta
